id,time,replicate_1,replicate_2,replicate_3
droso_1087,0.0,3.4981055,3.529117,4.8250513
droso_1087,0.1,3.1299086,3.7738268,4.7462006
droso_1087,0.2,3.5041323,4.5466785,5.313838
droso_1087,0.30000000000000004,4.2638683,4.8802166,4.756128
droso_1087,0.4,4.244822,5.252853,4.701023
droso_1087,0.5,4.6583242,5.2487497,4.7499127
droso_1087,0.6000000000000001,4.255947,5.6223717,4.7644854
droso_1087,0.7000000000000001,4.786752,5.2027655,4.6267495
droso_1087,0.8,4.4432783,5.354243,4.6112704
droso_1087,0.9,4.7545433,5.5591464,4.9160376
droso_1087,1.0,4.620949,5.8440266,5.5687933
droso_1087,1.1,4.7280807,5.7759075,5.5633864
droso_1087,1.2000000000000002,5.0210447,6.2978377,5.2086143
droso_1087,1.3,5.1875935,6.245446,5.081393
droso_1087,1.4000000000000001,4.971693,6.191063,5.1169558
droso_1087,1.5,5.378073,6.4136086,5.1486864
droso_1087,1.6,5.145266,6.4778333,5.2275596
droso_1087,1.7000000000000002,4.978578,6.32405,4.8790145
droso_1087,1.8,5.3155107,6.713594,4.7615385
droso_1087,1.9000000000000001,5.144479,6.6915016,4.757284
droso_1087,2.0,4.9869256,6.9590616,5.171347
droso_1087,2.1,4.9867435,6.8188157,4.7167025
droso_1087,2.2,5.2237353,7.283662,4.9094024
droso_1087,2.3000000000000003,4.707241,7.5786843,4.9651327
droso_1087,2.4000000000000004,5.3355227,7.039468,5.02138
droso_1087,2.5,5.223136,7.0061245,4.8403025
droso_1087,2.6,5.2249413,6.8649096,5.220446
droso_1087,2.7,4.8589087,6.2769337,5.4157476
droso_1087,2.8000000000000003,5.506346,6.281963,5.549613
droso_1087,2.9000000000000004,5.577197,6.704249,5.318956
droso_1087,3.0,6.003463,7.335596,6.0071707
droso_1087,3.1,5.8698034,6.7455134,5.717163
droso_1087,3.2,6.1650004,6.767685,5.5478783
droso_1087,3.3000000000000003,6.3457184,6.543914,5.5451303
droso_1087,3.4000000000000004,7.125389,6.3852715,5.7270036
droso_1087,3.5,6.3895383,7.192728,5.195757
droso_1087,3.6,6.409862,6.750141,5.075779
droso_1087,3.7,6.2673397,7.1567426,5.1373615
droso_1087,3.8000000000000003,6.0139484,7.619418,4.9853306
droso_1087,3.9000000000000004,5.854125,7.7120147,5.242905
droso_1087,4.0,6.547883,7.3532243,5.7620983
droso_1087,4.1000000000000005,6.9222274,6.6855154,5.6344504
droso_1087,4.2,6.6324835,6.434825,5.7115703
droso_1087,4.3,7.0646152,6.7805157,6.024237
droso_1087,4.4,6.7100644,6.5222363,6.0912547
droso_1087,4.5,6.5228415,6.9952297,5.901648
droso_1087,4.6000000000000005,6.555986,6.920369,5.6137795
droso_1087,4.7,6.4837317,7.0510573,5.9537883
droso_1087,4.800000000000001,6.3972726,7.005781,6.363542
droso_1087,4.9,7.0595956,7.295203,6.250531
droso_1087,5.0,7.2100396,7.453945,6.5630274
