id,time,replicate_1,replicate_2,replicate_3
droso_4840,0.0,1.625895,1.7182888,2.9179075
droso_4840,0.1,1.4691377,1.4552698,2.9299884
droso_4840,0.2,1.5795574,1.4726747,2.6950521
droso_4840,0.30000000000000004,1.3987657,2.4874809,2.4702306
droso_4840,0.4,1.3298143,1.7854748,2.2829258
droso_4840,0.5,1.6950467,1.4683402,3.283757
droso_4840,0.6000000000000001,1.4023635,1.6265044,2.9329321
droso_4840,0.7000000000000001,1.4309561,1.5378411,2.500872
droso_4840,0.8,1.3772476,1.5731136,2.344575
droso_4840,0.9,1.3005124,1.7422404,2.4175544
droso_4840,1.0,1.4068127,1.8629411,2.2849889
droso_4840,1.1,1.184862,1.8079927,2.4437497
droso_4840,1.2000000000000002,1.7694693,1.6295438,2.3993282
droso_4840,1.3,1.812452,1.5460942,2.2950363
droso_4840,1.4000000000000001,1.6185108,1.351164,2.1822376
droso_4840,1.5,1.3239443,2.2414086,2.4059305
droso_4840,1.6,1.5051277,2.3126347,3.1906843
droso_4840,1.7000000000000002,1.6812605,2.3751647,2.597154
droso_4840,1.8,1.6427785,2.180633,2.7923472
droso_4840,1.9000000000000001,1.4978919,2.8434942,2.0910373
droso_4840,2.0,1.3760968,2.6330576,2.2717738
droso_4840,2.1,1.6882997,2.5991845,2.9600205
droso_4840,2.2,1.8403556,2.0815856,3.095363
droso_4840,2.3000000000000003,1.6217855,2.257831,3.243835
droso_4840,2.4000000000000004,1.3184754,2.3441932,3.6424127
droso_4840,2.5,1.6703361,1.9688287,2.8509474
droso_4840,2.6,1.5448476,2.5379276,2.8965163
droso_4840,2.7,1.7505702,2.2634826,3.721213
droso_4840,2.8000000000000003,2.1819746,2.0303133,3.3362541
droso_4840,2.9000000000000004,1.7530121,2.3936849,3.2847319
droso_4840,3.0,1.440541,2.2817001,2.9946563
droso_4840,3.1,1.698264,2.707711,3.19325
droso_4840,3.2,1.6312613,2.5129607,3.0491602
droso_4840,3.3000000000000003,2.1284368,2.6170385,3.225923
droso_4840,3.4000000000000004,1.1699423,2.4524615,3.1537054
droso_4840,3.5,1.1562283,2.6133387,3.7460034
droso_4840,3.6,1.5731993,2.4081244,3.7239213
droso_4840,3.7,1.696501,2.1092608,3.9216535
droso_4840,3.8000000000000003,1.4520652,2.0311475,4.128486
droso_4840,3.9000000000000004,1.4095013,2.1224542,3.6376183
droso_4840,4.0,1.4814807,1.9758465,3.5565555
droso_4840,4.1000000000000005,1.4869965,2.311438,3.734124
droso_4840,4.2,1.318188,2.1836898,3.8469129
droso_4840,4.3,1.5856608,2.7467291,3.3133857
droso_4840,4.4,1.6545434,2.477606,3.2978852
droso_4840,4.5,2.0962977,2.6660824,3.3793206
droso_4840,4.6000000000000005,2.146504,2.9467645,3.5214748
droso_4840,4.7,1.7236125,2.6768525,3.3651645
droso_4840,4.800000000000001,1.9969568,2.1609035,3.5033274
droso_4840,4.9,1.8972892,2.2394254,3.429391
droso_4840,5.0,2.2199929,2.918479,3.220797
droso_4840,5.1000000000000005,2.2495658,2.8707118,3.427226
droso_4840,5.2,1.9082059,2.8129485,3.261411
droso_4840,5.300000000000001,2.3858669,2.3802235,3.1263452
droso_4840,5.4,1.9367356,2.455664,2.849952
droso_4840,5.5,1.8142112,2.4405456,2.7615259
droso_4840,5.6000000000000005,2.0187979,2.6913311,2.505284
droso_4840,5.7,1.8338488,2.8886967,2.8927476
droso_4840,5.800000000000001,2.2665617,2.5314188,3.0905201
droso_4840,5.9,2.066051,2.4423757,2.8870811
droso_4840,6.0,1.8261069,2.6103187,3.0583112
droso_4840,6.1000000000000005,1.5632575,3.1177082,2.5978346
droso_4840,6.2,1.8711109,2.7462807,2.7014792
droso_4840,6.300000000000001,1.9188436,2.7822027,3.0617352
droso_4840,6.4,2.1811903,2.8249757,3.0403423
droso_4840,6.5,1.9057274,2.7485974,2.902318
droso_4840,6.6000000000000005,1.8363065,3.3323746,2.5931191
droso_4840,6.7,2.2908397,3.1595185,2.3678207
droso_4840,6.800000000000001,2.230392,2.4498537,2.6335936
droso_4840,6.9,1.8052623,2.1358461,2.716148
droso_4840,7.0,2.3118687,2.3642917,2.6594582
droso_4840,7.1000000000000005,2.0573092,3.0240035,3.1371474
droso_4840,7.2,1.9959426,2.6037269,3.7913435
droso_4840,7.300000000000001,2.575287,2.9870098,3.428023
droso_4840,7.4,2.553735,2.4922097,2.7168033
droso_4840,7.5,2.519079,2.9722383,3.585714
droso_4840,7.6000000000000005,2.3486502,2.7733269,3.5008216
droso_4840,7.7,2.2085402,2.5090923,3.221518
droso_4840,7.800000000000001,2.5200193,2.6678712,3.0933945
droso_4840,7.9,2.909837,2.776107,2.6677542
droso_4840,8.0,2.9445746,2.6569142,2.8278506
droso_4840,8.1,2.5947576,2.863097,2.9496586
droso_4840,8.200000000000001,2.6071758,2.5018613,2.9208558
droso_4840,8.3,2.4160352,2.478416,3.1688035
droso_4840,8.4,2.761808,2.79038,2.9833186
droso_4840,8.5,2.977886,2.638041,3.199311
droso_4840,8.6,2.8520777,2.2226062,2.912714
droso_4840,8.700000000000001,3.0776286,2.1443214,2.5837069
droso_4840,8.8,2.8552766,2.6364653,2.6899207
droso_4840,8.9,2.8786411,2.372452,2.7653263
droso_4840,9.0,3.0280879,2.2942245,3.274802
droso_4840,9.1,2.796623,2.3071795,2.922083
